learning_rate,gamma,epsilon,first_goal_episode,success_rate,final_reward,final_steps
0.05,0.8,0.05,9,0.9415,1,6
0.05,0.8,0.1,23,0.8875,1,7
0.05,0.8,0.15,11,0.8345,1,6
0.05,0.8,0.2,11,0.789,1,7
0.05,0.9,0.05,23,0.9315,1,6
0.05,0.9,0.1,18,0.8915,-1,4
0.05,0.9,0.15,10,0.8365,1,6
0.05,0.9,0.2,19,0.761,1,10
0.05,0.95,0.05,8,0.948,1,6
0.05,0.95,0.1,18,0.8995,1,6
0.05,0.95,0.15,17,0.825,1,6
0.05,0.95,0.2,3,0.78,-1,9
0.05,0.99,0.05,11,0.9435,1,6
0.05,0.99,0.1,22,0.8885,1,6
0.05,0.99,0.15,7,0.8285,1,6
0.05,0.99,0.2,23,0.76,1,7
0.1,0.8,0.05,6,0.947,1,6
0.1,0.8,0.1,12,0.889,-1,2
0.1,0.8,0.15,18,0.8275,1,6
0.1,0.8,0.2,13,0.7745,1,7
0.1,0.9,0.05,1,0.938,1,6
0.1,0.9,0.1,7,0.883,-1,4
0.1,0.9,0.15,10,0.816,1,8
0.1,0.9,0.2,10,0.7615,-1,3
0.1,0.95,0.05,14,0.9405,1,6
0.1,0.95,0.1,2,0.8925,1,9
0.1,0.95,0.15,16,0.8155,1,6
0.1,0.95,0.2,19,0.759,-1,2
0.1,0.99,0.05,8,0.937,1,6
0.1,0.99,0.1,1,0.8795,1,6
0.1,0.99,0.15,17,0.825,1,6
0.1,0.99,0.2,8,0.7715,1,6
0.2,0.8,0.05,17,0.948,1,6
0.2,0.8,0.1,7,0.8955,1,6
0.2,0.8,0.15,11,0.8145,-1,2
0.2,0.8,0.2,14,0.7875,1,6
0.2,0.9,0.05,6,0.9455,1,6
0.2,0.9,0.1,11,0.895,1,6
0.2,0.9,0.15,7,0.8375,1,7
0.2,0.9,0.2,15,0.775,-1,2
0.2,0.95,0.05,10,0.936,1,7
0.2,0.95,0.1,23,0.887,1,6
0.2,0.95,0.15,4,0.84,1,6
0.2,0.95,0.2,18,0.7765,1,8
0.2,0.99,0.05,13,0.9295,1,6
0.2,0.99,0.1,8,0.8925,1,6
0.2,0.99,0.15,15,0.821,1,8
0.2,0.99,0.2,20,0.7735,1,6
0.3,0.8,0.05,11,0.946,1,6
0.3,0.8,0.1,5,0.898,1,6
0.3,0.8,0.15,13,0.837,1,7
0.3,0.8,0.2,41,0.7575,1,6
0.3,0.9,0.05,13,0.9415,1,6
0.3,0.9,0.1,10,0.8735,1,6
0.3,0.9,0.15,9,0.8265,1,6
0.3,0.9,0.2,25,0.7615,1,12
0.3,0.95,0.05,8,0.93,-1,4
0.3,0.95,0.1,3,0.893,1,6
0.3,0.95,0.15,9,0.845,1,6
0.3,0.95,0.2,11,0.778,-1,5
0.3,0.99,0.05,13,0.9415,1,6
0.3,0.99,0.1,11,0.889,1,6
0.3,0.99,0.15,19,0.8295,1,6
0.3,0.99,0.2,22,0.764,1,6
